               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11339,            0.014532,            0.062234,           0.0016148,            0.037379,           0.0016798,          0.00038153,             0.10261,            0.012526,            0.058374,           0.0033019,           0.0033019,            0.070283
                   1,             0.10245,            0.016039,            0.056856,             0.92051,            0.021154,            0.013593,           0.0027148,             0.10602,            0.013321,            0.079491,           0.0065695,           0.0065695,            0.040217
                   2,            0.087132,             0.01724,            0.052711,             0.11394,             0.09197,            0.012033,           0.0035076,             0.08609,            0.014346,            0.054315,           0.0097712,           0.0097712,            0.010086
                   3,            0.077111,            0.016769,            0.047195,             0.37881,             0.19536,             0.14207,             0.04782,            0.067167,            0.014577,            0.044616,            0.009703,            0.009703,            0.009703
                   4,            0.069064,            0.015729,            0.041626,             0.23102,              0.1805,            0.076574,            0.020081,            0.075408,            0.016843,             0.04663,            0.009703,            0.009703,            0.009703
                   5,            0.064207,             0.01555,            0.034874,             0.32842,             0.34485,             0.20048,            0.071153,            0.065022,            0.012881,            0.039252,            0.009604,            0.009604,            0.009604
                   6,             0.06042,            0.014691,            0.030521,             0.38523,             0.41746,             0.29792,             0.12177,            0.055703,            0.012618,            0.031008,            0.009505,            0.009505,            0.009505
                   7,             0.05589,            0.013553,            0.028285,             0.43822,             0.41075,              0.3329,             0.16675,            0.050952,            0.010856,            0.030541,            0.009406,            0.009406,            0.009406
                   8,            0.054113,            0.012874,            0.025719,             0.46986,             0.45383,             0.40894,             0.19719,            0.048832,            0.010492,            0.028357,            0.009307,            0.009307,            0.009307
                   9,            0.051081,            0.012591,            0.024764,             0.43194,             0.50783,             0.39443,             0.20604,             0.04287,           0.0097262,            0.027686,            0.009208,            0.009208,            0.009208
                  10,            0.049941,            0.011926,            0.023099,             0.35061,             0.58645,             0.39217,             0.21005,            0.042195,           0.0094658,            0.026236,            0.009109,            0.009109,            0.009109
