               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11177,            0.014818,             0.05885,              0.8099,            0.007619,           0.0027725,          0.00079355,             0.10656,            0.012602,             0.05783,           0.0033056,           0.0033056,             0.07025
                   1,             0.10045,            0.016547,            0.049559,             0.91135,             0.01137,           0.0073057,           0.0021401,            0.097445,            0.017836,            0.054684,            0.006617,            0.006617,            0.040228
                   2,            0.086803,            0.017229,            0.046709,             0.70826,            0.016905,           0.0069403,           0.0016966,            0.097386,            0.015794,             0.06264,           0.0099064,           0.0099064,            0.010184
                   3,            0.075037,            0.016854,            0.042027,             0.26047,             0.17606,             0.13593,            0.058788,            0.069441,             0.01387,            0.042546,            0.009901,            0.009901,            0.009901
                   4,            0.066153,            0.016714,            0.036242,             0.49757,             0.24835,             0.24173,             0.11685,            0.062252,            0.012596,            0.035645,            0.009901,            0.009901,            0.009901
                   5,            0.059467,            0.015473,            0.030264,             0.36566,             0.40865,             0.28949,             0.13166,            0.055271,            0.011958,            0.031216,            0.009868,            0.009868,            0.009868
                   6,             0.05722,            0.014697,            0.026437,             0.46268,             0.41925,             0.30696,             0.15791,            0.054505,            0.011379,            0.030995,            0.009835,            0.009835,            0.009835
                   7,            0.053865,            0.013738,            0.023645,             0.33404,             0.46425,             0.31805,             0.14327,            0.052256,            0.010489,            0.026332,            0.009802,            0.009802,            0.009802
                   8,            0.052257,            0.012953,            0.021687,             0.41995,             0.53797,             0.38448,             0.21307,            0.045953,           0.0093827,             0.02462,            0.009769,            0.009769,            0.009769
                   9,            0.047706,            0.012261,            0.021342,             0.42924,             0.55701,             0.41102,             0.24529,            0.041609,           0.0083432,            0.023138,            0.009736,            0.009736,            0.009736
                  10,            0.047724,            0.011653,            0.020674,             0.40155,             0.55319,             0.45093,             0.27281,            0.039824,           0.0080135,            0.022283,            0.009703,            0.009703,            0.009703
                  11,            0.044894,            0.011505,            0.019989,             0.42598,             0.56287,             0.47737,             0.28709,             0.03858,           0.0079672,            0.021538,             0.00967,             0.00967,             0.00967
                  12,             0.04449,            0.011181,            0.018821,             0.45283,             0.59062,             0.48539,             0.29018,            0.037658,           0.0076605,            0.020334,            0.009637,            0.009637,            0.009637
                  13,            0.042921,            0.010861,            0.017819,             0.47442,             0.57685,             0.52979,             0.33574,            0.034718,           0.0077633,            0.019674,            0.009604,            0.009604,            0.009604
                  14,            0.041575,            0.010494,            0.017523,             0.53391,             0.58646,              0.5395,              0.3445,            0.036206,           0.0071471,             0.01939,            0.009571,            0.009571,            0.009571
                  15,             0.03993,             0.01016,            0.016975,             0.52436,             0.58838,             0.55088,              0.3444,            0.032277,           0.0071525,            0.018743,            0.009538,            0.009538,            0.009538
                  16,            0.039678,            0.010257,            0.016436,              0.4875,             0.54297,             0.46296,             0.27049,            0.036659,           0.0083843,            0.023748,            0.009505,            0.009505,            0.009505
                  17,            0.039144,           0.0098602,            0.016303,             0.47188,             0.66042,             0.56634,             0.36939,            0.028971,           0.0064712,            0.017851,            0.009472,            0.009472,            0.009472
                  18,            0.038733,            0.010045,            0.016357,             0.55288,                0.67,             0.57567,             0.34996,            0.031255,           0.0064512,            0.017659,            0.009439,            0.009439,            0.009439
                  19,             0.03772,           0.0095663,            0.015777,             0.54829,             0.60074,             0.61714,              0.3868,            0.029324,           0.0064008,            0.017371,            0.009406,            0.009406,            0.009406
                  20,            0.037031,           0.0096074,            0.014984,             0.65434,             0.63139,             0.64168,             0.39111,            0.029504,           0.0061793,            0.016462,            0.009373,            0.009373,            0.009373
                  21,              0.0369,           0.0094202,            0.014855,             0.72637,             0.62637,             0.67091,             0.41101,            0.029321,           0.0062998,            0.016126,             0.00934,             0.00934,             0.00934
                  22,            0.036749,           0.0092796,            0.014402,             0.71206,             0.64738,             0.71018,             0.43607,            0.028167,           0.0061348,             0.01593,            0.009307,            0.009307,            0.009307
                  23,            0.035244,           0.0092194,            0.013843,             0.81338,             0.65556,             0.72692,             0.45242,            0.027587,            0.006304,            0.015198,            0.009274,            0.009274,            0.009274
                  24,             0.03627,           0.0093922,            0.013087,             0.67803,             0.69283,             0.71512,              0.4563,              0.0271,           0.0058824,            0.014684,            0.009241,            0.009241,            0.009241
                  25,            0.034446,           0.0088488,            0.012705,             0.72501,             0.69648,             0.73021,             0.47023,            0.026126,            0.005743,            0.013532,            0.009208,            0.009208,            0.009208
                  26,            0.034372,           0.0089093,            0.012701,              0.7996,             0.66198,             0.75573,             0.48743,            0.025946,           0.0057188,            0.012869,            0.009175,            0.009175,            0.009175
                  27,            0.033534,           0.0088122,            0.012279,             0.85615,             0.68148,             0.76068,              0.4597,            0.027214,           0.0055659,            0.012486,            0.009142,            0.009142,            0.009142
                  28,            0.033956,           0.0086421,            0.012162,             0.77584,             0.72649,             0.78633,             0.50619,             0.02455,            0.005645,            0.012668,            0.009109,            0.009109,            0.009109
                  29,            0.033211,            0.008773,            0.011814,             0.73524,             0.69272,             0.75135,             0.47227,            0.027278,           0.0059129,             0.01378,            0.009076,            0.009076,            0.009076
                  30,            0.033123,           0.0086894,            0.011721,              0.7212,             0.73731,             0.77193,             0.51618,            0.024652,           0.0055779,            0.011581,            0.009043,            0.009043,            0.009043
                  31,             0.03272,           0.0086291,             0.01064,             0.75358,             0.73839,             0.76785,             0.50728,            0.026638,           0.0053532,            0.011186,             0.00901,             0.00901,             0.00901
                  32,            0.032218,            0.008313,            0.010814,             0.73473,             0.72548,             0.76799,             0.47844,            0.026002,           0.0056447,            0.012076,            0.008977,            0.008977,            0.008977
                  33,            0.031441,           0.0081829,            0.010623,             0.87158,             0.72077,             0.81837,             0.54259,            0.024182,           0.0051186,            0.010133,            0.008944,            0.008944,            0.008944
                  34,            0.031489,           0.0082952,            0.010767,             0.76126,             0.67532,             0.75408,             0.48957,            0.025299,           0.0059527,            0.011206,            0.008911,            0.008911,            0.008911
                  35,            0.032476,           0.0084712,           0.0095376,             0.78757,             0.79989,              0.8348,             0.54537,            0.023709,           0.0054169,           0.0092179,            0.008878,            0.008878,            0.008878
                  36,            0.031301,           0.0081568,           0.0095955,             0.81819,             0.81278,             0.85434,             0.55188,            0.023863,           0.0051329,           0.0088883,            0.008845,            0.008845,            0.008845
                  37,             0.03081,           0.0081555,            0.009335,             0.81026,             0.82617,             0.85905,             0.54091,            0.024742,           0.0051984,           0.0078496,            0.008812,            0.008812,            0.008812
                  38,             0.03118,           0.0079637,           0.0088143,             0.80273,             0.78701,             0.83121,             0.55805,            0.022799,           0.0051013,           0.0079118,            0.008779,            0.008779,            0.008779
                  39,            0.030981,           0.0080298,           0.0090359,             0.81116,             0.80222,              0.8484,             0.56034,            0.023369,           0.0050951,           0.0075106,            0.008746,            0.008746,            0.008746
                  40,            0.029923,           0.0081166,           0.0078558,             0.85597,             0.81211,             0.87789,             0.57739,            0.022946,           0.0050112,            0.007247,            0.008713,            0.008713,            0.008713
                  41,            0.029918,           0.0080251,           0.0087524,             0.84931,             0.79189,              0.8657,             0.55652,            0.023884,           0.0049415,           0.0071876,             0.00868,             0.00868,             0.00868
                  42,             0.03041,           0.0080376,           0.0080557,             0.87241,             0.82491,             0.88098,             0.57352,            0.022863,           0.0048754,           0.0065809,            0.008647,            0.008647,            0.008647
                  43,            0.030437,            0.007852,           0.0079979,             0.85484,             0.78707,             0.85867,              0.5778,            0.022328,           0.0050743,           0.0065435,            0.008614,            0.008614,            0.008614
                  44,            0.029676,           0.0081217,            0.007914,             0.83244,             0.83319,              0.8858,             0.55887,            0.022995,           0.0050745,            0.006327,            0.008581,            0.008581,            0.008581
                  45,            0.029769,           0.0079762,           0.0073851,             0.83505,             0.83428,             0.87645,             0.58252,            0.022135,           0.0048628,           0.0061029,            0.008548,            0.008548,            0.008548
                  46,            0.029091,           0.0078337,            0.007241,               0.849,             0.80958,             0.87132,             0.55648,            0.022671,           0.0048157,           0.0058016,            0.008515,            0.008515,            0.008515
                  47,            0.029381,            0.007904,            0.006976,             0.89104,             0.86706,             0.91399,             0.59434,            0.021846,           0.0047913,           0.0053143,            0.008482,            0.008482,            0.008482
                  48,            0.029093,           0.0077138,           0.0068424,             0.93354,              0.7981,              0.8896,             0.60789,            0.021007,           0.0046683,           0.0049929,            0.008449,            0.008449,            0.008449
                  49,            0.028925,           0.0075897,            0.006881,             0.85763,             0.83085,             0.90147,             0.60441,            0.021602,           0.0047443,           0.0046445,            0.008416,            0.008416,            0.008416
                  50,            0.028961,           0.0076841,           0.0069291,             0.85924,             0.82801,             0.90451,             0.60147,            0.021618,           0.0048378,           0.0053697,            0.008383,            0.008383,            0.008383
                  51,            0.028649,            0.007578,           0.0063657,             0.90786,             0.84122,             0.90743,             0.60893,            0.020807,           0.0046284,           0.0046846,             0.00835,             0.00835,             0.00835
                  52,            0.029281,           0.0074929,           0.0066174,             0.91371,             0.81029,             0.90384,             0.61808,            0.022164,           0.0046411,           0.0046178,            0.008317,            0.008317,            0.008317
                  53,            0.028592,           0.0076795,            0.006291,             0.86826,             0.83848,             0.89468,             0.59517,            0.021533,           0.0052417,           0.0054445,            0.008284,            0.008284,            0.008284
                  54,            0.027985,           0.0074116,           0.0064458,             0.87815,             0.85097,             0.88706,             0.60206,             0.02112,           0.0046688,           0.0041268,            0.008251,            0.008251,            0.008251
                  55,            0.027759,           0.0073567,           0.0063233,             0.79243,             0.85671,             0.89479,             0.61032,            0.020672,           0.0045033,           0.0046746,            0.008218,            0.008218,            0.008218
                  56,            0.028473,           0.0075828,           0.0061677,             0.86085,             0.88121,             0.93266,             0.62498,             0.02049,           0.0046714,           0.0042517,            0.008185,            0.008185,            0.008185
                  57,            0.027477,           0.0074265,           0.0066495,             0.81662,             0.87145,             0.92366,             0.63352,            0.019994,           0.0045436,           0.0040173,            0.008152,            0.008152,            0.008152
                  58,            0.027369,           0.0073977,           0.0054694,             0.92496,             0.88578,             0.92934,             0.63528,            0.020254,           0.0045288,           0.0036033,            0.008119,            0.008119,            0.008119
                  59,            0.028223,            0.007294,           0.0057014,             0.94139,             0.81869,             0.93757,             0.64292,            0.020182,           0.0045382,           0.0032962,            0.008086,            0.008086,            0.008086
                  60,            0.027326,           0.0072808,           0.0061445,              0.9071,             0.88619,             0.94271,             0.63863,            0.021275,           0.0044967,           0.0034401,            0.008053,            0.008053,            0.008053
                  61,            0.027376,           0.0072279,           0.0054758,             0.90445,             0.88972,             0.94292,             0.65428,            0.019691,           0.0045343,           0.0032162,             0.00802,             0.00802,             0.00802
                  62,            0.026685,           0.0073107,           0.0053005,             0.88169,             0.89304,             0.92728,              0.6198,            0.021205,           0.0045164,           0.0030967,            0.007987,            0.007987,            0.007987
                  63,            0.027258,           0.0073913,           0.0055537,             0.86437,             0.88781,             0.93197,              0.6526,            0.019186,           0.0043331,           0.0028094,            0.007954,            0.007954,            0.007954
                  64,            0.027392,            0.007475,           0.0051357,             0.90453,             0.90934,             0.94507,              0.6501,             0.01959,           0.0043397,           0.0028888,            0.007921,            0.007921,            0.007921
                  65,            0.026939,           0.0070961,           0.0056395,             0.81775,             0.90673,             0.93862,             0.63526,            0.020781,           0.0043778,           0.0031863,            0.007888,            0.007888,            0.007888
                  66,            0.026667,           0.0072019,           0.0055668,             0.89763,               0.898,             0.94824,             0.64887,             0.01953,           0.0043427,           0.0030036,            0.007855,            0.007855,            0.007855
                  67,             0.02658,           0.0070228,           0.0050446,             0.90109,             0.91268,             0.95014,             0.65125,            0.019373,           0.0043389,           0.0022373,            0.007822,            0.007822,            0.007822
                  68,            0.026559,           0.0070801,           0.0053873,             0.90531,             0.91982,              0.9525,             0.65337,            0.019782,           0.0044818,           0.0030833,            0.007789,            0.007789,            0.007789
                  69,             0.02667,           0.0070305,           0.0049651,             0.90416,             0.92162,             0.94935,             0.66425,            0.019102,           0.0043082,           0.0022953,            0.007756,            0.007756,            0.007756
                  70,            0.025834,           0.0070087,            0.004637,             0.89967,             0.91228,             0.94532,             0.66534,            0.018953,           0.0042606,           0.0021849,            0.007723,            0.007723,            0.007723
                  71,            0.026468,           0.0070294,           0.0048584,             0.92199,             0.92248,             0.94314,             0.67436,            0.018255,           0.0042138,           0.0021602,             0.00769,             0.00769,             0.00769
                  72,            0.026192,           0.0069566,           0.0049594,             0.91852,             0.93599,             0.96466,             0.65435,            0.018827,           0.0043073,           0.0022166,            0.007657,            0.007657,            0.007657
                  73,            0.026239,           0.0070276,             0.00468,             0.91278,             0.91512,             0.94903,             0.66592,            0.018688,           0.0042689,           0.0025042,            0.007624,            0.007624,            0.007624
                  74,            0.025805,           0.0068708,           0.0047525,             0.89904,             0.91721,              0.9416,             0.66243,            0.018573,           0.0043055,           0.0020265,            0.007591,            0.007591,            0.007591
                  75,            0.026074,           0.0069551,           0.0049472,              0.9057,             0.91393,              0.9496,             0.68065,            0.018754,           0.0041859,           0.0021046,            0.007558,            0.007558,            0.007558
                  76,             0.02552,           0.0069642,            0.004721,             0.92615,             0.93103,             0.95567,             0.66477,            0.018866,           0.0042476,           0.0020613,            0.007525,            0.007525,            0.007525
                  77,            0.026224,           0.0071833,           0.0050123,             0.92453,             0.92866,             0.95951,             0.67656,            0.018406,           0.0041198,           0.0020078,            0.007492,            0.007492,            0.007492
                  78,            0.025662,            0.006833,           0.0041958,             0.93709,              0.9362,             0.96861,               0.672,             0.01839,           0.0041954,           0.0020693,            0.007459,            0.007459,            0.007459
                  79,            0.025745,           0.0071082,            0.004742,             0.91353,             0.92755,             0.95216,             0.66218,             0.01785,           0.0040678,           0.0024798,            0.007426,            0.007426,            0.007426
                  80,            0.025154,           0.0069812,           0.0043291,             0.90302,              0.9341,             0.96516,              0.6934,            0.018594,            0.004197,           0.0018161,            0.007393,            0.007393,            0.007393
                  81,            0.025233,           0.0068154,           0.0045947,             0.90779,             0.94585,             0.97492,             0.67861,            0.017959,           0.0040448,           0.0017517,             0.00736,             0.00736,             0.00736
