               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11022,            0.015229,            0.062271,          2.9516e-05,            0.023176,          1.6998e-05,          4.0281e-06,             0.10741,            0.011827,            0.062932,           0.0032353,           0.0032353,            0.070882
                   1,            0.098913,            0.016908,            0.056332,          4.1802e-05,            0.024657,          2.2846e-05,          4.0884e-06,             0.10407,            0.012138,             0.06286,            0.006547,            0.006547,            0.040861
                   2,            0.084987,            0.017981,            0.052681,             0.92815,            0.023929,            0.022596,           0.0071406,             0.08345,            0.014422,            0.054852,           0.0098366,           0.0098366,            0.010817
                   3,            0.073759,             0.01775,             0.04759,             0.30803,             0.18912,            0.067702,             0.02357,            0.078836,            0.016365,            0.046454,            0.009901,            0.009901,            0.009901
                   4,            0.064692,            0.016879,            0.041689,             0.19875,             0.20957,             0.11115,            0.037678,            0.070473,            0.015255,            0.043113,            0.009901,            0.009901,            0.009901
                   5,            0.059868,            0.015704,            0.035193,             0.32415,             0.38658,             0.25483,             0.12279,             0.05896,            0.011144,            0.035087,            0.009868,            0.009868,            0.009868
                   6,            0.056061,            0.014503,            0.032603,             0.23226,             0.40411,             0.19669,             0.07648,            0.068823,            0.015827,            0.033276,            0.009835,            0.009835,            0.009835
                   7,            0.054266,            0.013785,            0.029635,             0.21492,             0.52288,             0.28887,             0.11977,            0.057694,            0.011654,            0.029725,            0.009802,            0.009802,            0.009802
                   8,            0.050896,            0.013238,            0.027377,             0.24583,             0.49465,             0.35587,             0.19058,            0.045629,            0.010448,            0.027996,            0.009769,            0.009769,            0.009769
                   9,            0.048203,            0.012555,            0.025565,             0.81163,             0.39357,             0.46649,             0.24812,            0.043442,           0.0087089,            0.024732,            0.009736,            0.009736,            0.009736
                  10,            0.046214,            0.012265,            0.023946,             0.33686,             0.58732,             0.46942,             0.20681,            0.047365,           0.0081374,            0.023229,            0.009703,            0.009703,            0.009703
                  11,            0.044941,            0.011884,             0.02426,             0.37074,             0.54981,             0.48491,             0.26093,             0.04241,           0.0078233,            0.023068,             0.00967,             0.00967,             0.00967
                  12,            0.042373,            0.011408,            0.022651,             0.46777,             0.60309,              0.5102,             0.25466,            0.041345,           0.0076264,            0.022539,            0.009637,            0.009637,            0.009637
                  13,            0.041893,            0.011148,            0.022373,             0.55305,             0.54716,             0.53446,             0.24611,               0.047,           0.0079777,            0.022352,            0.009604,            0.009604,            0.009604
                  14,            0.040524,            0.011164,            0.020864,             0.49695,             0.61161,             0.59019,             0.33559,            0.034029,           0.0077803,            0.020213,            0.009571,            0.009571,            0.009571
