               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.107,            0.014406,            0.063412,           0.0001233,            0.049307,           8.384e-05,          2.2267e-05,             0.10533,            0.012281,            0.062899,           0.0032624,           0.0032624,            0.070638
                   1,            0.091799,            0.015761,            0.057859,           0.0026587,               0.131,           0.0021993,          0.00048208,            0.098522,            0.012497,            0.061311,            0.006574,            0.006574,            0.040617
                   2,            0.078134,            0.016009,            0.053809,             0.19905,             0.13385,            0.057255,            0.013568,            0.091409,            0.020849,            0.055638,           0.0098635,           0.0098635,            0.010573
                   3,            0.067837,            0.014571,             0.04647,             0.13323,             0.21929,            0.085451,            0.034237,            0.081116,            0.016136,            0.051418,            0.009901,            0.009901,            0.009901
                   4,            0.059828,            0.013315,            0.038345,             0.31673,             0.42789,             0.33442,             0.14529,            0.054632,            0.010878,            0.032561,            0.009901,            0.009901,            0.009901
                   5,            0.053627,            0.012054,            0.032946,             0.28985,             0.48895,             0.35026,             0.17068,             0.05218,            0.010237,            0.028525,            0.009868,            0.009868,            0.009868
                   6,            0.049151,            0.011409,            0.030363,              0.3775,             0.58234,             0.47279,              0.2365,            0.042859,            0.008887,            0.026811,            0.009835,            0.009835,            0.009835
                   7,            0.046185,            0.010701,            0.027758,             0.45494,             0.56312,             0.50744,             0.30434,             0.03936,           0.0089521,            0.028177,            0.009802,            0.009802,            0.009802
                   8,            0.044275,             0.01019,            0.027178,             0.59285,             0.58732,             0.60566,             0.32255,             0.03904,           0.0083259,            0.024595,            0.009769,            0.009769,            0.009769
                   9,            0.042987,            0.010003,            0.025047,             0.59438,             0.63784,              0.6604,             0.37527,             0.03826,           0.0076917,            0.023091,            0.009736,            0.009736,            0.009736
                  10,            0.040458,           0.0095715,            0.022688,             0.74438,             0.62547,             0.71161,              0.4021,            0.032755,           0.0070572,            0.020157,            0.009703,            0.009703,            0.009703
                  11,            0.040311,           0.0093515,            0.021621,             0.75637,             0.63834,             0.71221,             0.42454,            0.034397,           0.0077996,            0.018627,             0.00967,             0.00967,             0.00967
                  12,            0.038648,            0.009337,            0.020458,             0.79848,             0.73519,             0.80328,             0.49766,             0.03023,           0.0064417,            0.015494,            0.009637,            0.009637,            0.009637
                  13,            0.037292,           0.0089483,            0.018814,             0.88512,             0.75625,             0.85131,             0.55614,            0.028787,            0.006488,            0.013362,            0.009604,            0.009604,            0.009604
                  14,            0.037405,           0.0088042,            0.017363,             0.89325,             0.75421,             0.84157,             0.52865,            0.032228,           0.0061422,            0.012314,            0.009571,            0.009571,            0.009571
                  15,            0.036691,           0.0086714,            0.016185,             0.88733,             0.77369,             0.87016,              0.5536,            0.027756,           0.0060729,            0.011047,            0.009538,            0.009538,            0.009538
                  16,            0.035784,           0.0085877,            0.014625,             0.88328,             0.80383,             0.87559,             0.57493,            0.028923,             0.00636,           0.0096463,            0.009505,            0.009505,            0.009505
                  17,            0.035563,           0.0082911,            0.013228,             0.90297,             0.79941,             0.88386,             0.56904,             0.02806,           0.0061671,           0.0074874,            0.009472,            0.009472,            0.009472
                  18,            0.034347,           0.0085122,            0.011546,             0.90771,             0.83452,             0.91494,             0.59457,            0.027003,           0.0060612,           0.0064047,            0.009439,            0.009439,            0.009439
                  19,            0.034406,           0.0081381,             0.01072,              0.8899,             0.80891,             0.89841,             0.57725,            0.028755,           0.0060995,           0.0085725,            0.009406,            0.009406,            0.009406
                  20,            0.033444,           0.0080412,            0.011114,             0.92481,             0.83531,             0.90777,             0.62021,            0.025239,           0.0057343,           0.0054099,            0.009373,            0.009373,            0.009373
                  21,             0.03333,           0.0080141,             0.01011,             0.89102,             0.86209,             0.92573,             0.61421,            0.026065,           0.0056747,           0.0048439,             0.00934,             0.00934,             0.00934
                  22,            0.032388,           0.0076941,           0.0091941,              0.9145,             0.86784,              0.9302,             0.62804,            0.026111,           0.0054227,            0.004552,            0.009307,            0.009307,            0.009307
                  23,            0.031892,           0.0077076,            0.008942,             0.93599,             0.86847,             0.94351,             0.65539,             0.02391,           0.0051322,            0.004184,            0.009274,            0.009274,            0.009274
