               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089731,             0.20022,            0.057389,             0.43324,             0.31025,             0.25129,            0.068737,            0.070897,             0.11976,            0.041795,             0.00017,             0.00017,             0.08317
                   1,             0.08373,              0.1757,             0.05285,             0.43107,             0.37824,              0.2836,            0.080387,            0.067851,             0.11347,            0.041889,           0.0003465,           0.0003465,            0.065347
                   2,            0.078391,             0.15524,            0.051508,             0.50854,              0.4495,             0.37641,             0.12031,             0.06366,             0.10626,            0.041526,          0.00051941,          0.00051941,            0.047519
                   3,            0.068551,             0.13088,            0.046215,             0.56645,             0.51129,             0.50298,             0.20189,             0.05792,            0.092479,            0.040853,          0.00068872,          0.00068872,            0.029689
                   4,            0.069605,              0.1297,            0.046421,             0.65753,             0.50692,             0.54256,             0.23668,            0.054909,            0.085453,            0.040567,          0.00085444,          0.00085444,            0.011854
                   5,            0.063532,             0.11749,            0.044226,             0.66626,             0.52738,             0.56243,             0.25959,            0.051398,            0.077241,             0.03846,          0.00095005,          0.00095005,          0.00095005
                   6,            0.061619,              0.1022,            0.041282,             0.66859,             0.54618,             0.59229,             0.27665,            0.049733,            0.073233,             0.03512,          0.00095005,          0.00095005,          0.00095005
                   7,            0.062637,            0.097375,            0.040278,             0.67829,             0.55287,             0.60714,              0.2798,            0.048851,            0.070105,            0.032365,          0.00094006,          0.00094006,          0.00094006
                   8,             0.06026,            0.095999,            0.039168,             0.69032,             0.55047,             0.61537,             0.28149,             0.04848,            0.067994,            0.030283,          0.00093007,          0.00093007,          0.00093007
                   9,            0.058944,            0.091916,            0.036716,             0.67948,             0.59234,             0.62956,             0.28309,            0.048089,            0.065748,            0.027721,          0.00092008,          0.00092008,          0.00092008
                  10,            0.059946,            0.086899,            0.039166,             0.69736,             0.59458,             0.63986,             0.29186,            0.047779,            0.064505,            0.026177,          0.00091009,          0.00091009,          0.00091009
                  11,            0.058342,            0.084156,            0.034007,             0.73904,             0.58134,              0.6565,             0.30179,            0.047512,            0.063327,            0.024998,           0.0009001,           0.0009001,           0.0009001
                  12,            0.060083,            0.088361,            0.036513,             0.73567,             0.58929,             0.67418,             0.30829,            0.047219,            0.062104,            0.024311,          0.00089011,          0.00089011,          0.00089011
                  13,            0.057971,            0.085676,            0.036184,             0.72935,             0.62975,             0.68704,             0.31926,            0.046989,            0.061013,            0.023816,          0.00088012,          0.00088012,          0.00088012
                  14,            0.058811,            0.092597,            0.034714,             0.73964,             0.63585,             0.69274,             0.32686,            0.046602,            0.060066,            0.023595,          0.00087013,          0.00087013,          0.00087013
                  15,             0.05674,             0.08394,            0.035028,             0.75404,             0.64403,             0.70384,             0.33136,            0.046042,            0.059327,            0.023214,          0.00086014,          0.00086014,          0.00086014
                  16,            0.055795,            0.083866,            0.034862,             0.77912,             0.65807,             0.72081,              0.3402,             0.04544,            0.058705,             0.02253,          0.00085015,          0.00085015,          0.00085015
                  17,            0.055977,            0.084145,            0.033748,             0.79946,             0.67121,             0.73684,             0.34763,            0.044789,            0.057915,            0.021778,          0.00084016,          0.00084016,          0.00084016
                  18,            0.056071,            0.086549,            0.033615,             0.80377,             0.68386,             0.74574,             0.35466,            0.044442,            0.057511,            0.021361,          0.00083017,          0.00083017,          0.00083017
                  19,            0.055553,            0.081968,            0.031764,              0.8089,             0.68593,              0.7481,             0.35754,            0.044138,            0.057109,            0.021007,          0.00082018,          0.00082018,          0.00082018
                  20,            0.054199,            0.080188,              0.0322,             0.81914,             0.68883,             0.75266,              0.3618,            0.043911,            0.056795,            0.020607,          0.00081019,          0.00081019,          0.00081019
                  21,            0.054961,            0.082872,            0.032039,              0.8214,             0.69738,             0.76347,             0.36733,            0.043595,            0.056489,            0.020073,           0.0008002,           0.0008002,           0.0008002
                  22,            0.057153,            0.086299,            0.033929,             0.82967,             0.70333,             0.76816,             0.37115,            0.043362,            0.056195,            0.019797,          0.00079021,          0.00079021,          0.00079021
                  23,            0.054749,            0.081502,            0.032356,             0.83801,             0.70305,             0.76969,             0.37132,            0.043171,            0.055912,            0.019577,          0.00078022,          0.00078022,          0.00078022
