               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06255,            0.071194,            0.019854,             0.90754,             0.85165,             0.90396,             0.38149,            0.046724,            0.045485,           0.0087672,             0.00016,             0.00016,             0.08416
                   1,            0.053485,            0.065343,            0.020188,             0.91534,             0.86236,             0.92531,             0.49594,            0.036285,            0.042761,           0.0085546,           0.0003267,           0.0003267,            0.067327
                   2,            0.044683,            0.062475,            0.019803,             0.91513,             0.88074,             0.93914,              0.5618,            0.033026,            0.040393,           0.0082513,          0.00049001,          0.00049001,             0.05049
                   3,            0.041832,            0.061109,             0.01788,             0.92338,             0.89926,             0.95206,             0.60704,             0.03047,            0.038945,           0.0078793,          0.00064992,          0.00064992,             0.03365
                   4,            0.040251,            0.058517,            0.018117,             0.93858,             0.90627,              0.9586,              0.6442,            0.028629,            0.037354,           0.0074536,          0.00080643,          0.00080643,            0.016806
                   5,             0.03983,            0.059571,            0.017828,             0.93486,             0.91527,             0.96096,             0.66831,            0.027572,            0.036052,           0.0072308,          0.00095005,          0.00095005,          0.00095005
                   6,            0.038265,            0.056548,            0.018746,             0.94406,             0.91903,             0.96411,             0.68354,            0.026794,            0.035039,           0.0068298,          0.00095005,          0.00095005,          0.00095005
                   7,            0.040174,            0.063426,            0.018375,             0.95381,             0.91241,             0.96462,             0.68843,            0.026329,            0.034207,            0.006634,          0.00094006,          0.00094006,          0.00094006
                   8,            0.037336,            0.055162,            0.015711,              0.9597,             0.90718,             0.96383,             0.70063,            0.025686,            0.033375,           0.0064883,          0.00093007,          0.00093007,          0.00093007
                   9,            0.036411,            0.055474,            0.015685,             0.96037,             0.91673,             0.96747,              0.7035,            0.025292,            0.032579,           0.0061624,          0.00092008,          0.00092008,          0.00092008
                  10,            0.035095,            0.053241,            0.014843,             0.95575,              0.9255,             0.96958,             0.71284,            0.024771,            0.031906,            0.005877,          0.00091009,          0.00091009,          0.00091009
                  11,            0.035825,            0.054727,            0.015302,             0.95599,             0.93157,             0.97139,             0.72296,            0.024144,            0.031398,           0.0057079,           0.0009001,           0.0009001,           0.0009001
                  12,            0.036502,            0.054268,            0.016725,             0.96199,             0.92885,              0.9725,             0.72461,            0.024256,            0.031067,           0.0056929,          0.00089011,          0.00089011,          0.00089011
                  13,            0.035387,            0.053737,            0.015433,             0.96324,             0.92817,              0.9729,             0.73096,            0.023612,            0.030722,           0.0057375,          0.00088012,          0.00088012,          0.00088012
                  14,            0.033678,            0.054101,            0.014439,             0.96001,             0.93525,             0.97319,             0.73483,            0.023336,            0.030463,           0.0056225,          0.00087013,          0.00087013,          0.00087013
                  15,            0.034228,            0.054286,            0.013697,             0.95688,              0.9424,             0.97483,             0.74042,            0.023148,            0.030153,           0.0053902,          0.00086014,          0.00086014,          0.00086014
                  16,            0.035224,            0.053414,            0.015664,              0.9636,             0.93965,             0.97637,             0.73594,            0.023602,            0.030086,           0.0052649,          0.00085015,          0.00085015,          0.00085015
                  17,            0.034844,            0.052687,            0.014982,             0.96069,             0.94011,             0.97635,             0.73996,            0.023188,            0.029824,           0.0050514,          0.00084016,          0.00084016,          0.00084016
                  18,             0.03327,            0.052754,            0.013648,             0.96395,             0.94148,             0.97648,             0.73737,            0.023288,             0.02968,           0.0049446,          0.00083017,          0.00083017,          0.00083017
                  19,            0.034312,            0.052004,            0.014417,              0.9687,             0.93914,             0.97656,             0.74946,            0.022489,            0.029319,           0.0049527,          0.00082018,          0.00082018,          0.00082018
                  20,             0.03409,            0.052711,            0.013318,             0.96746,             0.94207,             0.97772,             0.74383,            0.022934,            0.029444,           0.0050142,          0.00081019,          0.00081019,          0.00081019
                  21,            0.034263,            0.054233,            0.014036,              0.9666,             0.94494,             0.97945,             0.74882,            0.022375,            0.029272,           0.0049133,           0.0008002,           0.0008002,           0.0008002
                  22,            0.034301,            0.054436,            0.013847,             0.97168,             0.94518,             0.98038,             0.74754,            0.022657,            0.029184,           0.0047752,          0.00079021,          0.00079021,          0.00079021
                  23,            0.032264,            0.049233,             0.01191,             0.96824,             0.94647,             0.97978,             0.75267,            0.022451,            0.029032,           0.0047179,          0.00078022,          0.00078022,          0.00078022
                  24,            0.033981,            0.054334,            0.012896,              0.9698,               0.944,             0.98036,             0.75525,            0.022056,            0.028875,           0.0046597,          0.00077023,          0.00077023,          0.00077023
                  25,            0.032823,            0.050973,            0.012837,             0.97106,             0.94055,             0.98032,             0.75244,            0.022455,            0.028977,           0.0046438,          0.00076024,          0.00076024,          0.00076024
                  26,            0.032719,             0.05162,            0.012575,             0.96941,             0.94592,             0.98128,             0.75592,            0.021985,            0.028838,           0.0045288,          0.00075025,          0.00075025,          0.00075025
                  27,            0.031538,            0.048266,            0.012903,             0.97155,             0.94309,             0.98262,             0.76014,            0.021692,            0.028671,           0.0042968,          0.00074026,          0.00074026,          0.00074026
                  28,            0.032961,            0.052432,            0.013931,             0.96756,             0.95121,             0.98308,             0.75922,            0.021699,            0.028605,           0.0042577,          0.00073027,          0.00073027,          0.00073027
                  29,            0.031399,            0.049621,            0.012443,             0.97061,             0.94902,             0.98284,             0.75702,            0.022031,             0.02867,            0.004262,          0.00072028,          0.00072028,          0.00072028
                  30,             0.03196,            0.051125,            0.012043,             0.96948,             0.95375,             0.98255,             0.75962,            0.021821,            0.028683,           0.0042029,          0.00071029,          0.00071029,          0.00071029
                  31,            0.032613,            0.053111,            0.012521,              0.9714,             0.95097,             0.98283,             0.76485,            0.021464,            0.028344,           0.0042468,           0.0007003,           0.0007003,           0.0007003
                  32,            0.032232,            0.049926,            0.013422,             0.97359,             0.95056,             0.98324,             0.76485,            0.021434,            0.028279,           0.0042434,          0.00069031,          0.00069031,          0.00069031
                  33,            0.031572,            0.049839,            0.011417,             0.97559,             0.94864,               0.983,             0.76635,            0.021366,            0.028254,           0.0042525,          0.00068032,          0.00068032,          0.00068032
                  34,            0.030461,            0.047184,            0.011057,             0.97469,             0.95357,             0.98309,             0.76827,            0.021167,            0.028238,           0.0041727,          0.00067033,          0.00067033,          0.00067033
                  35,            0.032507,            0.052093,            0.012467,             0.97608,             0.95441,             0.98446,             0.77063,            0.021069,            0.028135,           0.0040331,          0.00066034,          0.00066034,          0.00066034
                  36,            0.030787,             0.04909,            0.011992,             0.97807,             0.95673,             0.98468,             0.77146,            0.020892,            0.028043,           0.0039661,          0.00065035,          0.00065035,          0.00065035
                  37,            0.030612,            0.049186,            0.010888,              0.9759,             0.95776,             0.98426,             0.76932,            0.021159,            0.028015,           0.0039928,          0.00064036,          0.00064036,          0.00064036
                  38,                0.03,            0.047706,            0.011274,             0.97796,             0.95811,             0.98472,             0.77096,             0.02105,            0.027935,           0.0039779,          0.00063037,          0.00063037,          0.00063037
                  39,            0.032423,            0.051108,            0.012539,             0.97617,             0.95582,             0.98483,             0.76906,            0.021281,            0.027936,           0.0039899,          0.00062038,          0.00062038,          0.00062038
                  40,            0.031322,             0.04835,            0.012764,             0.97513,             0.95977,             0.98566,             0.77056,            0.021123,            0.027856,           0.0038802,          0.00061039,          0.00061039,          0.00061039
                  41,            0.031105,             0.05002,            0.010929,             0.97417,             0.95914,             0.98547,             0.77329,            0.020915,            0.027852,           0.0038242,           0.0006004,           0.0006004,           0.0006004
                  42,            0.031836,              0.0495,            0.012071,              0.9802,             0.95226,             0.98613,             0.77215,            0.021025,            0.027894,           0.0037902,          0.00059041,          0.00059041,          0.00059041
                  43,            0.030838,            0.049495,            0.010626,             0.97839,              0.9556,             0.98581,             0.77507,            0.020666,            0.027861,           0.0038463,          0.00058042,          0.00058042,          0.00058042
                  44,            0.032238,             0.05105,            0.012827,             0.97588,             0.95971,             0.98662,             0.77874,            0.020722,            0.027783,           0.0038003,          0.00057043,          0.00057043,          0.00057043
                  45,            0.031638,            0.050062,            0.011542,             0.97794,             0.95712,              0.9867,             0.77917,            0.020652,            0.027663,           0.0037509,          0.00056044,          0.00056044,          0.00056044
                  46,            0.031165,            0.048021,            0.011452,             0.98179,             0.95623,             0.98736,             0.77777,             0.02072,            0.027716,           0.0037625,          0.00055045,          0.00055045,          0.00055045
                  47,            0.030762,             0.04804,            0.011155,             0.97721,             0.95982,             0.98615,             0.77914,            0.020508,            0.027617,            0.003718,          0.00054046,          0.00054046,          0.00054046
                  48,            0.031348,            0.048862,            0.012656,             0.97611,             0.96172,             0.98713,             0.77996,            0.020405,            0.027567,            0.003659,          0.00053047,          0.00053047,          0.00053047
                  49,            0.029954,            0.045339,             0.01065,             0.97663,             0.96045,             0.98726,             0.76823,            0.021331,            0.027835,           0.0036383,          0.00052048,          0.00052048,          0.00052048
                  50,            0.033916,            0.054089,            0.012469,             0.97237,              0.9636,              0.9875,             0.77928,             0.02059,            0.027641,           0.0036184,          0.00051049,          0.00051049,          0.00051049
                  51,            0.030956,            0.048132,            0.010881,             0.97614,             0.95736,             0.98743,             0.77916,            0.020646,            0.027601,           0.0036483,           0.0005005,           0.0005005,           0.0005005
                  52,            0.029449,             0.04735,            0.011634,             0.97824,             0.95731,             0.98778,             0.77415,            0.020742,            0.027574,           0.0036237,          0.00049051,          0.00049051,          0.00049051
                  53,            0.031409,            0.051378,            0.010933,             0.97968,             0.95882,             0.98797,             0.77829,              0.0205,             0.02751,           0.0036273,          0.00048052,          0.00048052,          0.00048052
                  54,            0.030893,            0.049387,            0.011801,             0.97732,              0.9589,             0.98795,             0.78176,            0.020394,            0.027417,           0.0035782,          0.00047053,          0.00047053,          0.00047053
                  55,            0.031703,            0.048834,            0.012999,             0.97617,             0.95895,             0.98798,             0.78228,            0.020126,            0.027205,           0.0035034,          0.00046054,          0.00046054,          0.00046054
                  56,            0.030984,            0.050357,            0.011941,             0.98025,             0.95775,             0.98796,             0.78277,            0.020216,            0.027201,           0.0035139,          0.00045055,          0.00045055,          0.00045055
                  57,            0.031589,            0.050266,            0.011911,             0.98011,             0.95643,              0.9876,             0.78359,            0.020301,            0.027205,           0.0035437,          0.00044056,          0.00044056,          0.00044056
