               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11514,             0.18101,            0.049458,            0.002082,            0.034486,           0.0023495,          0.00048422,             0.11063,              0.1623,            0.048604,           0.0032456,           0.0032456,            0.070789
                   1,             0.10945,             0.17994,            0.049057,           0.0031279,            0.048917,            0.001796,          0.00033728,             0.10569,             0.17009,            0.048431,           0.0065572,           0.0065572,            0.040768
                   2,             0.10123,              0.1645,            0.048262,           0.0065534,            0.087016,           0.0041684,           0.0011205,             0.12549,             0.13241,            0.073474,           0.0098469,           0.0098469,            0.010724
                   3,            0.092545,             0.15332,            0.047521,           0.0096692,            0.085405,           0.0049781,           0.0013679,             0.13379,              0.7465,             0.12355,            0.009901,            0.009901,            0.009901
                   4,            0.085478,             0.14301,            0.046752,            0.020093,             0.25175,            0.012985,           0.0043213,             0.11395,             0.49764,            0.092345,            0.009901,            0.009901,            0.009901
                   5,            0.080366,             0.13958,            0.046326,            0.098288,             0.42827,            0.083812,            0.028408,            0.082202,              0.1602,            0.048752,            0.009868,            0.009868,            0.009868
                   6,            0.078514,             0.14147,            0.046166,            0.079318,             0.45837,            0.079439,            0.026779,            0.077218,             0.16038,            0.052211,            0.009835,            0.009835,            0.009835
                   7,            0.073222,               0.133,             0.04589,             0.11258,             0.55149,              0.1088,            0.040006,            0.074256,             0.12325,            0.047781,            0.009802,            0.009802,            0.009802
                   8,             0.07257,             0.13276,            0.045728,             0.12566,              0.5595,             0.12536,            0.040505,            0.070736,             0.12799,            0.048013,            0.009769,            0.009769,            0.009769
                   9,            0.069697,             0.12976,            0.045547,             0.13977,             0.55367,             0.15931,            0.057785,            0.064666,             0.11535,            0.045305,            0.009736,            0.009736,            0.009736
                  10,            0.066795,             0.12796,            0.045438,             0.14921,             0.63937,              0.1691,            0.070573,            0.065395,             0.11101,            0.046014,            0.009703,            0.009703,            0.009703
                  11,             0.06641,             0.12739,             0.04549,             0.17249,             0.65788,             0.17862,            0.064012,            0.061391,             0.11932,            0.045441,             0.00967,             0.00967,             0.00967
                  12,            0.063942,             0.12495,            0.045279,               0.146,              0.6454,             0.15981,            0.065052,            0.058883,             0.11998,            0.048244,            0.009637,            0.009637,            0.009637
                  13,            0.061983,             0.12182,            0.045288,             0.17635,             0.70665,             0.21699,            0.095193,            0.057527,               0.105,            0.045419,            0.009604,            0.009604,            0.009604
                  14,            0.061511,               0.125,            0.045217,             0.20715,             0.68445,              0.2563,             0.11684,            0.055357,             0.10469,            0.045125,            0.009571,            0.009571,            0.009571
                  15,            0.059462,             0.11892,            0.045181,             0.19686,             0.71504,             0.25968,             0.12514,            0.051296,             0.10089,            0.045134,            0.009538,            0.009538,            0.009538
                  16,            0.057289,             0.11874,            0.045005,             0.21669,             0.72386,              0.2528,             0.12136,            0.051932,            0.099963,            0.047498,            0.009505,            0.009505,            0.009505
                  17,            0.056501,             0.11646,            0.045096,             0.22135,             0.76423,             0.26598,              0.1246,            0.052589,             0.10264,            0.045216,            0.009472,            0.009472,            0.009472
                  18,            0.055622,             0.11842,            0.044904,             0.23267,             0.73507,             0.28382,             0.14203,            0.047726,            0.096843,            0.044941,            0.009439,            0.009439,            0.009439
                  19,            0.054072,             0.11563,            0.044776,             0.21917,             0.76738,             0.27082,             0.11808,            0.053885,              0.0991,            0.045361,            0.009406,            0.009406,            0.009406
                  20,            0.054665,             0.11389,             0.04466,             0.22576,              0.7867,             0.28394,             0.15314,             0.04482,            0.093788,             0.04519,            0.009373,            0.009373,            0.009373
                  21,            0.052484,             0.11143,            0.044649,             0.23537,             0.77502,             0.32855,             0.14953,            0.050352,             0.10024,              0.0444,             0.00934,             0.00934,             0.00934
                  22,            0.051831,             0.11574,            0.044284,             0.23758,             0.75874,             0.30826,             0.17928,            0.043741,            0.096496,            0.045041,            0.009307,            0.009307,            0.009307
                  23,            0.049801,             0.11389,            0.044111,             0.24378,             0.76686,             0.33928,             0.19911,            0.042019,            0.095823,            0.043941,            0.009274,            0.009274,            0.009274
                  24,            0.051058,             0.11308,            0.043982,              0.2246,             0.81014,             0.28216,             0.14696,            0.045309,            0.096274,            0.043728,            0.009241,            0.009241,            0.009241
                  25,            0.050038,             0.11089,            0.043896,             0.25513,             0.75767,             0.36352,             0.20021,            0.042646,            0.092557,            0.043241,            0.009208,            0.009208,            0.009208
                  26,            0.049532,             0.10941,            0.043529,             0.25253,             0.74412,              0.3519,             0.20357,            0.041654,            0.090807,            0.042969,            0.009175,            0.009175,            0.009175
                  27,            0.047366,             0.10869,             0.04311,             0.29526,             0.66272,             0.42071,             0.24282,            0.041173,            0.094859,            0.042111,            0.009142,            0.009142,            0.009142
                  28,            0.047904,             0.11148,             0.04265,             0.30773,             0.66545,             0.43793,             0.24858,            0.041622,            0.089763,            0.041492,            0.009109,            0.009109,            0.009109
                  29,            0.045637,             0.10613,            0.042069,             0.33465,             0.62516,             0.46469,             0.28565,            0.038129,            0.087446,            0.040646,            0.009076,            0.009076,            0.009076
                  30,            0.045614,             0.10457,            0.041604,             0.35103,             0.62231,              0.4887,              0.2978,             0.03803,            0.086933,            0.039829,            0.009043,            0.009043,            0.009043
                  31,            0.045851,             0.10476,              0.0409,             0.35257,             0.59053,             0.46195,             0.25623,            0.043887,            0.093927,             0.03997,             0.00901,             0.00901,             0.00901
                  32,            0.047093,             0.10619,            0.040336,             0.36705,             0.59483,             0.50731,             0.32187,            0.037942,            0.088086,            0.038597,            0.008977,            0.008977,            0.008977
                  33,             0.04619,              0.1058,            0.039946,             0.35928,              0.6405,             0.52057,             0.32718,            0.037296,             0.08872,            0.037618,            0.008944,            0.008944,            0.008944
                  34,            0.044627,             0.10249,            0.038733,             0.39017,             0.62572,             0.55607,             0.36332,            0.035796,            0.084902,            0.036373,            0.008911,            0.008911,            0.008911
                  35,            0.044367,             0.10528,            0.038612,             0.38356,             0.64494,             0.55859,             0.37267,            0.035194,            0.087047,            0.035315,            0.008878,            0.008878,            0.008878
                  36,            0.043537,               0.104,            0.037634,             0.43525,             0.59325,             0.57354,             0.38044,             0.03553,            0.085297,            0.034261,            0.008845,            0.008845,            0.008845
